projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
8514	1872	2011-08-01T09:28:31.000Z	thoefer2	1	2133839	860202e8b2e3579402d48d7e56fa738a9529a340	
8514	2031	2011-08-01T09:28:31.000Z	thoefer2	1	2133840	860202e8b2e3579402d48d7e56fa738a9529a340	
8514	2416	2011-08-06T16:33:18.000Z	guilleiguaran	1	2264025	aed9917094f0a618b440d0bacee3a33b30f7d951	
8514	2431	2011-08-08T13:41:23.000Z	jonleighton	1	2305624	9062b75bb7dab38977805c1de35944079a56499a	
8514	522	2011-08-08T23:12:53.000Z	jonleighton	1	2461453	128d006242dae07edc65ad03e0e045adac0bbbf3	
8514	2511	2011-08-14T16:58:29.000Z	franckverrot	1	2428231	75dd33a0aed96d9f03b79c82f7e5bc5ccf462e8e	
8514	2507	2011-08-15T08:11:11.000Z	franckverrot	1	12210775	4882271f6bae7bc8d91caf36cc8f16c7e6969b7b	
8514	2054	2011-08-15T15:00:35.000Z	jonleighton	1	2445341	57423d815b3747aa382cd3859a15bffa538525ad	
460078	470	2011-08-15T23:17:12.000Z	igorminar	1	3203389	a13653c81431bf51fed2a958514ebfb9aeb2dc14	
8514	2624	2011-08-23T10:07:37.000Z	pixeltrix	1	2644216	14cf4b2e353f923155aab1ae0eaafed3c2924b12	
8514	2654	2011-08-23T12:12:41.000Z	dmajda	1	2653266	68a13eded347248fb9d4c8ef7f0ed2af52bba994	
8514	2625	2011-08-24T02:36:21.000Z	guilleiguaran	1	2665891	d133fd6d290a4812a17cc58c0d7e5cd3895e23f6	
460078	534	2011-08-25T23:31:00.000Z	codier	1	2721903	5927b23ef35736ec075e226c32d46decb5d42e34	
8514	2556	2011-08-29T14:01:17.000Z	jonleighton	1	2795599	735d985b0162976e7e900cf36d4cbb0d657fb5e9	
8514	2783	2011-09-01T09:24:19.000Z	dmathieu	1	2984369	451cdd62ce54080d0a4944551fbc3f10cc34a42d	
8514	2795	2011-09-01T20:37:14.000Z	tenderlove	1	2914385	fdd619e9a7a5b9457f77e6322c920b99c3c09599	
460078	542	2011-09-01T21:19:22.000Z	igorminar	1	2916612	31b86241215bb37cc6bb81f98a47942738d710c2	
8514	2645	2011-09-01T22:00:31.000Z	tenderlove	1	2922857	6f3c6992c529a09c8f8bfdb1f714bb8ff1e23300	
