projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
8514	4602	2012-01-22T19:06:55.000Z	ihid	2	8281772	1f9d6a0bf1307eb45d676b88dcdde87355b5b90d	
8514	4585	2012-01-24T02:27:04.000Z	bronzle	2	8354606	8d26f875f70beef3062deb5ded9c5ffcd473d5ac	
8514	4671	2012-01-26T11:00:40.000Z	arunagw	2	8498750	f251437415f7b803f7a84118fcc970a111ace266	
8514	4710	2012-01-26T21:26:33.000Z	andhapp	2	8534881	5dab9bd2cdf4a97ecfacde39a038ea7a2c682f1b	
8514	4764	2012-01-30T19:31:05.000Z	mdespuits	2	8695987	7cdb12286639b38db2eb1e9fd0c8b2e6bc3b39dc	
8514	4750	2012-01-31T03:39:44.000Z	vatrai	2	8720999	de161003c36a0cd967aa393e7706b12055770174	
8514	4837	2012-02-08T00:19:20.000Z	rafaelfranca	2	9160459	75ffd8701d04d943eddcafee08e19b90bce8936c	
8514	4837	2012-02-11T01:49:56.000Z	joelhoffman	2	9370168	e0cba3a0fab28f96dc9b5d3a714886583873a7d3	
8514	5307	2012-03-07T14:12:23.000Z	chrisgibson	2	10901774	bbdb54ad153673a2733e109709f666bede1c61ac	
8514	5308	2012-03-07T14:12:23.000Z	chrisgibson	2	10901776	bbdb54ad153673a2733e109709f666bede1c61ac	
8514	5330	2012-03-09T02:58:43.000Z	rafaelfranca	2	11048158	d523504c2f18e459e21a8cfa019ef0620db61b79	
1795273	55	2012-03-13T03:53:25.000Z	guilleiguaran	2	11252381	64d7878bc8aacf236f3b4e36f0a07d5955a76230	
460078	784	2012-03-20T20:06:01.000Z	vojtajina	2	11738650	a4fe51da3ba0dc297ecd389e230d6664f250c9a6	
460078	807	2012-03-20T20:06:01.000Z	vojtajina	2	11738648	64fb1f262028679b7eb1760bb38f9b1e4003d8e7	
8514	5667	2012-03-30T16:44:10.000Z	amutz	2	12454608	86aefdb4f2b957acc6d6c7eef557dff6a3888803	
460078	869	2012-04-12T00:30:10.000Z	igorminar	2	13223609	93d62860e988a09fb64e594f50f6cd55a1fc5748	
460078	877	2012-04-20T19:31:28.000Z	igorminar	2	13849323	eafe15f54c686d5c83f777fd319f4c568e209432	
